id,name,abvr,geo,order,y
ap:42:39008,PA-1,PA-1,Pennsylvania 1,299,
ap:42:39303,PA-2,PA-2,Pennsylvania 2,300,
ap:42:39010,PA-3,PA-3,Pennsylvania 3,301,
ap:42:39011,PA-4,PA-4,Pennsylvania 4,302,
ap:42:39012,PA-5,PA-5,Pennsylvania 5,303,
ap:42:39013,PA-6,PA-6,Pennsylvania 6,304,
ap:42:39014,PA-7,PA-7,Pennsylvania 7,305,
ap:42:39015,PA-8,PA-8,Pennsylvania 8,306,
ap:42:40041,PA-9,PA-9,Pennsylvania 9,307,
ap:42:39017,PA-10,PA-10,Pennsylvania 10,308,
ap:42:39018,PA-11,PA-11,Pennsylvania 11,309,
ap:42:39019,PA-12,PA-12,Pennsylvania 12,310,
ap:42:39020,PA-13,PA-13,Pennsylvania 13,311,
ap:42:39021,PA-14,PA-14,Pennsylvania 14,312,
ap:42:40306,PA-15,PA-15,Pennsylvania 15,313,
ap:42:39023,PA-16,PA-16,Pennsylvania 16,314,
ap:42:39024,PA-17,PA-17,Pennsylvania 17,315,
ap:44:40015,RI-1,RI-1,Rhode Island 1,316,
ap:44:40017,RI-2,RI-2,Rhode Island 2,317,
ap:45:41922,SC-1,SC-1,South Carolina 1,318,
ap:45:41003,SC-2,SC-2,South Carolina 2,319,
ap:45:41004,SC-3,SC-3,South Carolina 3,320,
ap:45:41313,SC-4,SC-4,South Carolina 4,321,
ap:45:41972,SC-5,SC-5,South Carolina 5,322,
ap:45:41315,SC-6,SC-6,South Carolina 6,323,
ap:45:41908,SC-7,SC-7,South Carolina 7,324,
ap:46:42005,SD-1,SD-1,South Dakota At-Large,325,
ap:47:43003,TN-1,TN-1,Tennessee 1,326,
ap:47:43007,TN-2,TN-2,Tennessee 2,327,
ap:47:43009,TN-3,TN-3,Tennessee 3,328,
ap:47:43011,TN-4,TN-4,Tennessee 4,329,
ap:47:43013,TN-5,TN-5,Tennessee 5,330,
ap:47:43015,TN-6,TN-6,Tennessee 6,331,
ap:47:43017,TN-7,TN-7,Tennessee 7,332,
ap:47:43019,TN-8,TN-8,Tennessee 8,333,
ap:47:43020,TN-9,TN-9,Tennessee 9,334,
ap:48:45871,TX-1,TX-1,Texas 1,335,
ap:48:45872,TX-2,TX-2,Texas 2,336,
ap:48:45873,TX-3,TX-3,Texas 3,337,
ap:48:45874,TX-4,TX-4,Texas 4,338,
ap:48:45875,TX-5,TX-5,Texas 5,339,
ap:48:45876,TX-6,TX-6,Texas 6,340,
ap:48:45877,TX-7,TX-7,Texas 7,341,
ap:48:45878,TX-8,TX-8,Texas 8,342,
ap:48:45879,TX-9,TX-9,Texas 9,343,
ap:48:45880,TX-10,TX-10,Texas 10,344,
ap:48:45881,TX-11,TX-11,Texas 11,345,
ap:48:45882,TX-12,TX-12,Texas 12,346,
ap:48:45883,TX-13,TX-13,Texas 13,347,
ap:48:45884,TX-14,TX-14,Texas 14,348,
ap:48:45885,TX-15,TX-15,Texas 15,349,
ap:48:45886,TX-16,TX-16,Texas 16,350,
ap:48:45887,TX-17,TX-17,Texas 17,351,
ap:48:45888,TX-18,TX-18,Texas 18,352,
ap:48:45889,TX-19,TX-19,Texas 19,353,
ap:48:45890,TX-20,TX-20,Texas 20,354,
ap:48:45891,TX-21,TX-21,Texas 21,355,
ap:48:45892,TX-22,TX-22,Texas 22,356,
ap:48:45893,TX-23,TX-23,Texas 23,357,
ap:48:45894,TX-24,TX-24,Texas 24,358,
ap:48:45895,TX-25,TX-25,Texas 25,359,
ap:48:45896,TX-26,TX-26,Texas 26,360,
ap:48:45897,TX-27,TX-27,Texas 27,361,
ap:48:47179,TX-28,TX-28,Texas 28,362,
ap:48:45899,TX-29,TX-29,Texas 29,363,
ap:48:45900,TX-30,TX-30,Texas 30,364,
ap:48:48732,TX-31,TX-31,Texas 31,365,
ap:48:48733,TX-32,TX-32,Texas 32,366,
ap:48:49477,TX-33,TX-33,Texas 33,367,
ap:48:49478,TX-34,TX-34,Texas 34,368,
ap:48:49479,TX-35,TX-35,Texas 35,369,
ap:48:49480,TX-36,TX-36,Texas 36,370,
ap:48:49950,TX-37,TX-37,Texas 37,371,
ap:48:49951,TX-38,TX-38,Texas 38,372,
ap:49:45669,UT-1,UT-1,Utah 1,373,
ap:49:45670,UT-2,UT-2,Utah 2,374,
ap:49:49642,UT-3,UT-3,Utah 3,375,
ap:49:49548,UT-4,UT-4,Utah 4,376,
ap:51:47001,VA-1,VA-1,Virginia 1,377,
ap:51:47003,VA-2,VA-2,Virginia 2,378,
ap:51:47005,VA-3,VA-3,Virginia 3,379,
ap:51:47007,VA-4,VA-4,Virginia 4,380,
ap:51:47009,VA-5,VA-5,Virginia 5,381,
ap:51:47011,VA-6,VA-6,Virginia 6,382,
ap:51:47013,VA-7,VA-7,Virginia 7,383,
ap:51:47015,VA-8,VA-8,Virginia 8,384,
ap:51:47017,VA-9,VA-9,Virginia 9,385,
ap:51:47019,VA-10,VA-10,Virginia 10,386,
ap:51:47021,VA-11,VA-11,Virginia 11,387,
ap:50:46374,VT-1,VT-1,Vermont At-Large,388,
ap:53:2,WA-1,WA-1,Washington 1,389,
ap:53:48008,WA-2,WA-2,Washington 2,390,
ap:53:48009,WA-3,WA-3,Washington 3,391,
ap:53:48011,WA-4,WA-4,Washington 4,392,
ap:53:48013,WA-5,WA-5,Washington 5,393,
ap:53:48015,WA-6,WA-6,Washington 6,394,
ap:53:48017,WA-7,WA-7,Washington 7,395,
ap:53:48020,WA-8,WA-8,Washington 8,396,
ap:53:4,WA-9,WA-9,Washington 9,397,
ap:53:49358,WA-10,WA-10,Washington 10,398,
ap:55:50040,WI-1,WI-1,Wisconsin 1,399,
ap:55:50044,WI-2,WI-2,Wisconsin 2,400,
ap:55:50048,WI-3,WI-3,Wisconsin 3,401,
ap:55:50052,WI-4,WI-4,Wisconsin 4,402,
ap:55:50056,WI-5,WI-5,Wisconsin 5,403,
ap:55:50060,WI-6,WI-6,Wisconsin 6,404,
ap:55:50064,WI-7,WI-7,Wisconsin 7,405,
ap:55:50068,WI-8,WI-8,Wisconsin 8,406,
ap:54:49273,WV-1,WV-1,West Virginia 1,407,
ap:54:49274,WV-2,WV-2,West Virginia 2,408,
ap:56:51401,WY-1,WY-1,Wyoming At-Large,409,
ap:36:36581,NY-1,NY-1,New York 1,410,
ap:36:36582,NY-2,NY-2,New York 2,411,
ap:36:36583,NY-3,NY-3,New York 3,412,
ap:36:36584,NY-4,NY-4,New York 4,413,
ap:36:36585,NY-5,NY-5,New York 5,414,
ap:36:36586,NY-6,NY-6,New York 6,415,
ap:36:36587,NY-7,NY-7,New York 7,416,
ap:36:36588,NY-8,NY-8,New York 8,417,
ap:36:39860,NY-9,NY-9,New York 9,418,
ap:36:36590,NY-10,NY-10,New York 10,419,
ap:36:36591,NY-11,NY-11,New York 11,420,
ap:36:36592,NY-12,NY-12,New York 12,421,
ap:36:36593,NY-13,NY-13,New York 13,422,
ap:36:36594,NY-14,NY-14,New York 14,423,
ap:36:36595,NY-15,NY-15,New York 15,424,
ap:36:36596,NY-16,NY-16,New York 16,425,
ap:36:36597,NY-17,NY-17,New York 17,426,
ap:36:36598,NY-18,NY-18,New York 18,427,
ap:36:36599,NY-19,NY-19,New York 19,428,
ap:36:36600,NY-20,NY-20,New York 20,429,
ap:36:36601,NY-21,NY-21,New York 21,430,
ap:36:36602,NY-22,NY-22,New York 22,431,
ap:36:36603,NY-23,NY-23,New York 23,432,
ap:36:36604,NY-24,NY-24,New York 24,433,
ap:36:36605,NY-25,NY-25,New York 25,434,
ap:36:39859,NY-26,NY-26,New York 26,435,
